2000 table name,crosswalk computation field
P1,POPPCT00
P2,POPPCT00
P3,POPPCT00
P4,POPPCT00
P5,POPPCT00
P6,POPPCT00
P7,POPPCT00
P8,POPPCT00
P9,POPPCT00
P10,POPPCT00
P11,POPPCT00
P12,POPPCT00
P13,
P14,POPPCT00
P15,POPPCT00
P16,POPPCT00
P17,
P18,POPPCT00
P19,POPPCT00
P20,POPPCT00
P21,POPPCT00
P22,POPPCT00
P23,POPPCT00
P24,POPPCT00
P25,POPPCT00
P26,POPPCT00
P27,POPPCT00
P28,POPPCT00
P29,POPPCT00
P30,POPPCT00
P31,POPPCT00
P32,POPPCT00
P33,
P34,POPPCT00
P35,POPPCT00
P36,POPPCT00
P37,POPPCT00
P38,POPPCT00
P39,POPPCT00
P40,POPPCT00
P41,POPPCT00
P42,POPPCT00
P43,POPPCT00
P44,POPPCT00
P45,POPPCT00
P12A,POPPCT00
P12B,POPPCT00
P12C,POPPCT00
P12D,POPPCT00
P12E,POPPCT00
P12F,POPPCT00
P12G,POPPCT00
P12H,POPPCT00
P12I,POPPCT00
P13A,
P13B,
P13C,
P13D,
P13E,
P13F,
P13G,
P13H,
P13I,
P15A,POPPCT00
P15B,POPPCT00
P15C,POPPCT00
P15D,POPPCT00
P15E,POPPCT00
P15F,POPPCT00
P15G,POPPCT00
P15H,POPPCT00
P15I,POPPCT00
P16A,POPPCT00
P16B,POPPCT00
P16C,POPPCT00
P16D,POPPCT00
P16E,POPPCT00
P16F,POPPCT00
P16G,POPPCT00
P16H,POPPCT00
P16I,POPPCT00
P17A,
P17B,
P17C,
P17D,
P17E,
P17F,
P17G,
P17H,
P17I,
P26A,POPPCT00
P26B,POPPCT00
P26C,POPPCT00
P26D,POPPCT00
P26E,POPPCT00
P26F,POPPCT00
P26G,POPPCT00
P26H,POPPCT00
P26I,POPPCT00
P27A,POPPCT00
P27B,POPPCT00
P27C,POPPCT00
P27D,POPPCT00
P27E,POPPCT00
P27F,POPPCT00
P27G,POPPCT00
P28H,POPPCT00
P27I,POPPCT00
P28A,POPPCT00
P28B,POPPCT00
P28C,POPPCT00
P28D,POPPCT00
P28E,POPPCT00
P28F,POPPCT00
P28G,POPPCT00
P28H,POPPCT00
P28I,POPPCT00
P30A,POPPCT00
P30B,POPPCT00
P30C,POPPCT00
P30D,POPPCT00
