P001001	P001001	True	TOTAL POPULATION 
P002001	P002001	True	URBAN AND RURAL 
P002002	P002002	True	URBAN AND RURAL	Urban:
P002003	P002003	True	URBAN AND RURAL	Urban:	Inside urbanized areas
P002004	P002004	True	URBAN AND RURAL	Urban:	Inside urban clusters
P002005	P002005	True	URBAN AND RURAL	Rural
P002006	P002006	True	URBAN AND RURAL	Not defined for this file
P007001	P003001	True	RACE 
P007002	P003002	True	RACE	White alone
P007003	P003003	True	RACE	Black or African American alone
P007004	P003004	True	RACE	American Indian and Alaska Native alone
P007005	P003005	True	RACE	Asian alone
P007006	P003006	True	RACE	Native Hawaiian and Other Pacific Islander alone
P007007	P003007	True	RACE	Some Other Race alone
P007008	P003008	True	RACE	Two or More Races
P001001	P004001	True	HISPANIC OR LATINO ORIGIN 
P001001-P011001	P004002	True	HISPANIC OR LATINO ORIGIN	Not Hispanic or Latino
P011001	P004003	True	HISPANIC OR LATINO ORIGIN	Hispanic or Latino
P008001	P005001	True	HISPANIC OR LATINO ORIGIN BY RACE 
P008002	P005002	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:
P008003	P005003	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:	White alone
P008004	P005004	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:	Black or African American alone
P008005	P005005	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:	American Indian and Alaska Native alone
P008006	P005006	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:	Asian alone
P008007	P005007	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:	Native Hawaiian and Other Pacific Islander alone
P008008	P005008	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:	Some Other Race alone
P008009	P005009	True	HISPANIC OR LATINO ORIGIN BY RACE	Not Hispanic or Latino:	Two or More Races
P008010	P005010	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:
P008011	P005011	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:	White alone
P008012	P005012	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:	Black or African American alone
P008013	P005013	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:	American Indian and Alaska Native alone
P008014	P005014	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:	Asian alone
P008015	P005015	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:	Native Hawaiian and Other Pacific Islander alone
P008016	P005016	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:	Some Other Race alone
P008017	P005017	True	HISPANIC OR LATINO ORIGIN BY RACE	Hispanic or Latino:	Two or More Races
P009001	P006001	True	RACE (TOTAL RACES TALLIED) 
P009002	P006002	True	RACE (TOTAL RACES TALLIED)	White alone or in combination with one or more other races
P009003	P006003	True	RACE (TOTAL RACES TALLIED)	Black or African American alone or in combination with one or more other races
P009004	P006004	True	RACE (TOTAL RACES TALLIED)	American Indian and Alaska Native alone or in combination with one or more other races
P009005	P006005	True	RACE (TOTAL RACES TALLIED)	Asian alone or in combination with one or more other races
P009006	P006006	True	RACE (TOTAL RACES TALLIED)	Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races
P009007	P006007	True	RACE (TOTAL RACES TALLIED)	Some Other Race alone or in combination with one or more other races
P010001	P007001	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED) 
P010002	P007002	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Not Hispanic or Latino:
P010003	P007003	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Not Hispanic or Latino:	White alone or in combination with one or more other races
P010004	P007004	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Not Hispanic or Latino:	Black or African American alone or in combination with one or more other races
P010005	P007005	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Not Hispanic or Latino:	American Indian and Alaska Native alone or in combination with one or more other races
P010006	P007006	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Not Hispanic or Latino:	Asian alone or in combination with one or more other races
P010007	P007007	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Not Hispanic or Latino:	Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races
P010008	P007008	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Not Hispanic or Latino:	Some Other Race alone or in combination with one or more other races
P010009	P007009	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Hispanic or Latino:
P010010	P007010	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Hispanic or Latino:	White alone or in combination with one or more other races
P010011	P007011	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Hispanic or Latino:	Black or African American alone or in combination with one or more other races
P010012	P007012	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Hispanic or Latino:	American Indian and Alaska Native alone or in combination with one or more other races
P010013	P007013	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Hispanic or Latino:	Asian alone or in combination with one or more other races
P010014	P007014	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Hispanic or Latino:	Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races
P010015	P007015	True	HISPANIC OR LATINO ORIGIN BY RACE (TOTAL RACES TALLIED)	Hispanic or Latino:	Some Other Race alone or in combination with one or more other races
P003001	P008001	True	RACE 
P003002	P008002	True	RACE	Population of one race:
P003003	P008003	True	RACE	Population of one race:	White alone
P003004	P008004	True	RACE	Population of one race:	Black or African American alone
P003005	P008005	True	RACE	Population of one race:	American Indian and Alaska Native alone
P003006	P008006	True	RACE	Population of one race:	Asian alone
P003007	P008007	True	RACE	Population of one race:	Native Hawaiian and Other Pacific Islander alone
P003008	P008008	True	RACE	Population of one race:	Some Other Race alone
P003009	P008009	True	RACE	Two or More Races:    
P003010	P008010	True	RACE	Two or More Races:	Population of two races:
P003011	P008011	True	RACE	Two or More Races:	Population of two races:	White; Black or African American
P003012	P008012	True	RACE	Two or More Races:	Population of two races:	White; American Indian and Alaska Native 
P003013	P008013	True	RACE	Two or More Races:	Population of two races:	White; Asian
P003014	P008014	True	RACE	Two or More Races:	Population of two races:	White; Native Hawaiian and Other Pacific Islander
P003015	P008015	True	RACE	Two or More Races:	Population of two races:	White; Some Other Race
P003016	P008016	True	RACE	Two or More Races:	Population of two races:	Black or African American; American Indian and Alaska Native 
P003017	P008017	True	RACE	Two or More Races:	Population of two races:	Black or African American; Asian
P003018	P008018	True	RACE	Two or More Races:	Population of two races:	Black or African American; Native Hawaiian and Other Pacific Islander
P003019	P008019	True	RACE	Two or More Races:	Population of two races:	Black or African American; Some Other Race
P003020	P008020	True	RACE	Two or More Races:	Population of two races:	American Indian and Alaska Native; Asian
P003021	P008021	True	RACE	Two or More Races:	Population of two races:	American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P003022	P008022	True	RACE	Two or More Races:	Population of two races:	American Indian and Alaska Native; Some Other Race
P003023	P008023	True	RACE	Two or More Races:	Population of two races:	Asian; Native Hawaiian and Other Pacific Islander
P003024	P008024	True	RACE	Two or More Races:	Population of two races:	Asian; Some Other Race
P003025	P008025	True	RACE	Two or More Races:	Population of two races:	Native Hawaiian and Other Pacific Islander; Some Other Race
P003026	P008026	True	RACE	Two or More Races:	Population of three races:
P003027	P008027	True	RACE	Two or More Races:	Population of three races:	White; Black or African American; American Indian and Alaska Native 
P003028	P008028	True	RACE	Two or More Races:	Population of three races:	White; Black or African American; Asian
P003029	P008029	True	RACE	Two or More Races:	Population of three races:	White; Black or African American; Native Hawaiian and Other Pacific Islander
P003030	P008030	True	RACE	Two or More Races:	Population of three races:	White; Black or African American; Some Other Race
P003031	P008031	True	RACE	Two or More Races:	Population of three races:	White; American Indian and Alaska Native; Asian
P003032	P008032	True	RACE	Two or More Races:	Population of three races:	White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P003033	P008033	True	RACE	Two or More Races:	Population of three races:	White; American Indian and Alaska Native; Some Other Race
P003034	P008034	True	RACE	Two or More Races:	Population of three races:	White; Asian; Native Hawaiian and Other Pacific Islander
P003035	P008035	True	RACE	Two or More Races:	Population of three races:	White; Asian; Some Other Race
P003036	P008036	True	RACE	Two or More Races:	Population of three races:	White; Native Hawaiian and Other Pacific Islander; Some Other Race
P003037	P008037	True	RACE	Two or More Races:	Population of three races:	Black or African American; American Indian and Alaska Native; Asian
P003038	P008038	True	RACE	Two or More Races:	Population of three races:	Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P003039	P008039	True	RACE	Two or More Races:	Population of three races:	Black or African American; American Indian and Alaska Native; Some Other Race
P003040	P008040	True	RACE	Two or More Races:	Population of three races:	Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P003041	P008041	True	RACE	Two or More Races:	Population of three races:	Black or African American; Asian; Some Other Race
P003042	P008042	True	RACE	Two or More Races:	Population of three races:	Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P003043	P008043	True	RACE	Two or More Races:	Population of three races:	American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander 
P003044	P008044	True	RACE	Two or More Races:	Population of three races:	American Indian and Alaska Native; Asian; Some Other Race
P003045	P008045	True	RACE	Two or More Races:	Population of three races:	American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P003046	P008046	True	RACE	Two or More Races:	Population of three races:	Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P003047	P008047	True	RACE	Two or More Races:	Population of four races:
P003048	P008048	True	RACE	Two or More Races:	Population of four races:	White; Black or African American; American Indian and Alaska Native; Asian
P003049	P008049	True	RACE	Two or More Races:	Population of four races:	White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander
P003050	P008050	True	RACE	Two or More Races:	Population of four races:	White; Black or African American; American Indian and Alaska Native; Some Other Race
P003051	P008051	True	RACE	Two or More Races:	Population of four races:	White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander
P003052	P008052	True	RACE	Two or More Races:	Population of four races:	White; Black or African American; Asian; Some Other Race
P003053	P008053	True	RACE	Two or More Races:	Population of four races:	White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race
P003054	P008054	True	RACE	Two or More Races:	Population of four races:	White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P003055	P008055	True	RACE	Two or More Races:	Population of four races:	White; American Indian and Alaska Native; Asian; Some Other Race
P003056	P008056	True	RACE	Two or More Races:	Population of four races:	White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P003057	P008057	True	RACE	Two or More Races:	Population of four races:	White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P003058	P008058	True	RACE	Two or More Races:	Population of four races:	Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P003059	P008059	True	RACE	Two or More Races:	Population of four races:	Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P003060	P008060	True	RACE	Two or More Races:	Population of four races:	Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P003061	P008061	True	RACE	Two or More Races:	Population of four races:	Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P003062	P008062	True	RACE	Two or More Races:	Population of four races:	American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P003063	P008063	True	RACE	Two or More Races:	Population of five races:
P003064	P008064	True	RACE	Two or More Races:	Population of five races:	White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander
P003065	P008065	True	RACE	Two or More Races:	Population of five races:	White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race
P003066	P008066	True	RACE	Two or More Races:	Population of five races:	White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race
P003067	P008067	True	RACE	Two or More Races:	Population of five races:	White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
P003068	P008068	True	RACE	Two or More Races:	Population of five races:	White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race
